"","X","Hours.Studied","Previous.Scores","Extracurricular.Activities","Sleep.Hours","Sample.Question.Papers.Practiced","Performance.Index"
"236",236,3,54,"Yes",6,3,38
"237",237,9,56,"Yes",8,2,56
"238",238,2,92,"No",7,7,70
"239",239,2,57,"No",5,8,35
"240",240,2,71,"Yes",5,4,47
"241",241,6,77,"No",6,8,66
"242",242,3,62,"Yes",9,0,43
"243",243,9,85,"No",8,6,81
"244",244,4,62,"Yes",4,6,43
"245",245,1,74,"Yes",7,5,46
"246",246,4,78,"No",8,3,61
"247",247,1,54,"No",4,8,27
"248",248,5,92,"No",7,2,77
"249",249,4,63,"No",7,0,43
"250",250,8,67,"Yes",5,1,60
"251",251,8,55,"No",6,2,48
"252",252,7,55,"Yes",8,1,47
"253",253,3,79,"Yes",7,5,60
"254",254,1,78,"Yes",8,6,53
"255",255,1,45,"No",7,4,19
"256",256,3,41,"Yes",9,4,23
"257",257,6,93,"Yes",5,6,81
"258",258,7,52,"No",6,5,41
"259",259,6,83,"Yes",4,7,71
"260",260,6,86,"Yes",4,8,75
"261",261,6,98,"Yes",9,1,89
"262",262,3,48,"No",5,1,28
"263",263,6,73,"Yes",7,0,60
"264",264,8,56,"Yes",5,6,54
"265",265,2,66,"Yes",6,3,41
"266",266,5,68,"No",4,8,52
"267",267,1,76,"No",8,5,53
"268",268,1,82,"No",4,6,52
"269",269,5,61,"Yes",6,6,47
"270",270,3,90,"Yes",7,7,71
"271",271,4,63,"Yes",5,3,42
"272",272,3,46,"Yes",4,2,21
"273",273,1,73,"Yes",4,2,48
"274",274,1,87,"No",8,9,64
"275",275,5,51,"Yes",5,7,38
"276",276,6,62,"Yes",8,2,49
"277",277,3,54,"No",8,7,35
"278",278,9,72,"No",7,1,73
"279",279,5,96,"Yes",4,4,81
"280",280,8,52,"No",9,4,47
"281",281,1,62,"No",5,6,36
"282",282,5,77,"No",7,4,63
"283",283,3,71,"Yes",9,8,52
"284",284,1,84,"No",7,2,58
"285",285,4,89,"Yes",7,8,77
"286",286,5,74,"No",6,0,58
"287",287,7,40,"Yes",6,2,33
"288",288,1,86,"Yes",7,3,67
"289",289,3,97,"Yes",6,5,76
"290",290,2,84,"No",5,9,62
"291",291,9,44,"No",4,7,37
"292",292,6,96,"No",9,6,86
"293",293,3,52,"Yes",5,7,37
"294",294,8,93,"No",4,5,88
"295",295,8,44,"No",6,5,38
"296",296,2,99,"Yes",9,5,76
"297",297,6,71,"No",5,2,57
"298",298,7,90,"Yes",8,9,82
"299",299,2,60,"No",7,3,35
"300",300,2,63,"Yes",4,5,41
"301",301,1,99,"Yes",4,6,75
"302",302,8,57,"No",8,2,51
"303",303,1,60,"Yes",8,3,34
"304",304,9,93,"No",7,5,92
"305",305,6,49,"No",6,0,39
"306",306,7,63,"No",5,6,56
"307",307,7,79,"No",5,0,69
"308",308,3,86,"Yes",5,9,69
"309",309,2,60,"Yes",6,8,40
"310",310,9,64,"Yes",7,9,63
"311",311,8,91,"No",5,8,86
"312",312,7,99,"No",4,8,89
"313",313,9,96,"Yes",4,3,94
"314",314,4,98,"Yes",4,1,79
"315",315,4,62,"No",8,6,44
"316",316,1,61,"No",8,3,33
"317",317,8,43,"No",6,4,36
"318",318,3,73,"Yes",5,0,50
"319",319,7,95,"No",8,9,94
"320",320,2,45,"Yes",4,5,22
"321",321,2,67,"No",8,6,44
"322",322,7,70,"Yes",4,2,60
"323",323,6,74,"No",5,9,64
"324",324,3,78,"Yes",6,1,58
"325",325,9,81,"Yes",7,9,78
"326",326,6,62,"Yes",7,6,51
"327",327,6,45,"No",4,0,30
"328",328,1,55,"Yes",8,1,29
"329",329,4,41,"Yes",8,2,22
"330",330,6,63,"No",4,3,51
"331",331,6,56,"Yes",5,4,45
"332",332,5,84,"Yes",4,3,70
"333",333,1,40,"No",5,9,10
"334",334,8,45,"Yes",6,2,38
"335",335,5,44,"No",6,0,30
"336",336,5,96,"Yes",4,6,82
"337",337,7,84,"No",6,9,74
"338",338,4,99,"Yes",8,5,87
"339",339,6,94,"Yes",5,1,77
"340",340,4,89,"Yes",7,1,72
"341",341,3,68,"No",7,2,51
"342",342,7,51,"Yes",6,7,40
"343",343,8,78,"Yes",5,7,72
"344",344,4,86,"No",8,9,68
"345",345,2,42,"No",7,9,22
"346",346,3,87,"No",8,9,67
"347",347,1,40,"Yes",8,9,18
"348",348,8,66,"Yes",7,7,64
"349",349,3,87,"Yes",7,6,66
"350",350,7,63,"No",6,1,50
"351",351,5,83,"No",5,0,68
"352",352,5,58,"Yes",4,5,44
"353",353,7,98,"Yes",5,7,90
"354",354,9,47,"No",4,0,41
"355",355,5,94,"No",7,2,83
"356",356,1,83,"No",8,0,57
"357",357,1,86,"Yes",5,9,64
"358",358,2,41,"No",8,8,18
"359",359,6,69,"No",5,6,62
"360",360,9,69,"No",9,7,66
"361",361,8,88,"No",5,8,85
"362",362,5,78,"Yes",8,2,62
"363",363,1,84,"No",9,9,62
"364",364,7,71,"Yes",6,1,62
"365",365,5,40,"Yes",7,5,26
"366",366,6,77,"No",6,4,66
"367",367,7,52,"No",6,3,43
"368",368,3,50,"Yes",5,5,30
"369",369,3,49,"No",7,5,25
"370",370,5,87,"Yes",9,2,77
"371",371,6,98,"No",5,1,88
"372",372,9,65,"Yes",4,8,62
"373",373,5,95,"Yes",5,7,82
"374",374,1,94,"Yes",9,3,73
"375",375,4,59,"No",8,5,44
"376",376,5,56,"Yes",5,2,40
"377",377,5,56,"Yes",4,7,39
"378",378,7,43,"No",5,2,34
"379",379,4,44,"No",9,1,27
"380",380,1,99,"Yes",4,6,73
"381",381,5,62,"Yes",7,2,46
"382",382,7,85,"No",9,8,78
"383",383,6,91,"Yes",5,2,80
"384",384,5,49,"No",4,7,33
"385",385,4,85,"No",9,1,68
"386",386,2,67,"No",7,8,45
"387",387,4,72,"Yes",8,0,56
"388",388,3,82,"No",6,2,58
"389",389,1,65,"Yes",4,1,37
"390",390,8,94,"Yes",8,6,88
"391",391,5,89,"No",7,4,75
"392",392,4,87,"No",8,7,70
"393",393,8,68,"No",5,1,62
"394",394,7,66,"No",6,7,57
"395",395,2,57,"Yes",4,6,32
"396",396,1,79,"Yes",9,4,53
"397",397,4,99,"No",7,1,82
"398",398,8,49,"Yes",6,9,41
"399",399,2,97,"No",7,6,75
"400",400,3,81,"Yes",8,9,63
"401",401,1,44,"Yes",7,3,17
"402",402,1,49,"Yes",7,3,24
"403",403,3,89,"No",8,7,69
"404",404,5,60,"Yes",8,5,47
"405",405,3,63,"Yes",6,8,43
"406",406,1,77,"Yes",4,1,48
"407",407,1,42,"Yes",8,4,17
"408",408,8,79,"No",6,5,75
"409",409,2,70,"Yes",7,7,54
"410",410,3,80,"No",7,3,59
"411",411,2,76,"No",9,6,56
"412",412,3,41,"Yes",5,6,20
"413",413,7,41,"Yes",8,3,34
"414",414,1,78,"No",6,0,54
"415",415,8,88,"No",9,2,83
"416",416,2,81,"No",6,1,59
"417",417,3,83,"Yes",4,2,63
"418",418,9,73,"Yes",9,4,72
"419",419,7,81,"No",6,0,70
"420",420,4,59,"No",8,4,41
"421",421,5,72,"No",6,1,54
"422",422,2,43,"Yes",5,3,21
"423",423,8,84,"Yes",7,5,83
"424",424,4,83,"No",7,8,64
"425",425,9,50,"Yes",9,9,51
"426",426,5,81,"No",6,5,66
"427",427,9,86,"Yes",6,9,83
"428",428,4,44,"No",6,1,26
"429",429,5,64,"Yes",6,7,49
"430",430,9,88,"Yes",5,4,85
"431",431,8,99,"Yes",8,8,95
"432",432,3,76,"Yes",5,9,56
"433",433,1,73,"Yes",5,8,50
"434",434,3,48,"Yes",5,3,23
"435",435,4,45,"Yes",7,0,26
"436",436,2,57,"No",5,8,30
"437",437,1,53,"No",6,8,28
"438",438,7,58,"No",5,7,48
"439",439,8,53,"Yes",6,4,46
"440",440,7,79,"Yes",9,4,73
"441",441,5,56,"Yes",8,9,45
"442",442,1,99,"No",7,5,76
"443",443,7,74,"No",8,0,71
"444",444,7,68,"No",9,8,60
"445",445,9,81,"No",8,4,77
"446",446,3,56,"No",7,6,36
"447",447,9,98,"No",6,7,96
"448",448,1,82,"Yes",9,4,62
"449",449,1,47,"No",9,2,22
"450",450,4,40,"Yes",6,5,21
"451",451,9,84,"No",6,6,79
"452",452,6,92,"No",7,3,82
"453",453,3,75,"Yes",5,8,55
"454",454,1,46,"Yes",4,3,22
"455",455,4,85,"Yes",5,9,70
"456",456,9,44,"No",5,1,37
"457",457,3,63,"No",8,8,42
"458",458,9,67,"Yes",4,3,64
"459",459,7,82,"No",6,3,72
"460",460,4,56,"Yes",5,9,42
"461",461,3,76,"No",7,0,56
"462",462,5,59,"No",5,1,43
"463",463,5,42,"No",6,2,24
"464",464,3,76,"Yes",5,6,55
"465",465,9,65,"No",9,8,64
"466",466,4,54,"Yes",8,4,34
"467",467,5,90,"Yes",8,3,78
"468",468,4,87,"Yes",5,1,71
"469",469,5,47,"Yes",8,6,33
"470",470,7,52,"Yes",7,5,46
"471",471,9,87,"Yes",4,6,86
"472",472,7,42,"Yes",5,7,34
"473",473,5,40,"Yes",7,8,26
"474",474,7,48,"Yes",9,9,44
"475",475,5,70,"No",7,4,53
"476",476,3,80,"Yes",7,4,61
"477",477,7,93,"No",9,3,84
"478",478,2,65,"Yes",6,2,40
"479",479,9,56,"No",5,6,53
"480",480,1,95,"No",5,4,67
"481",481,6,73,"No",5,6,58
"482",482,7,48,"No",4,1,41
"483",483,8,95,"No",7,8,89
"484",484,9,90,"No",5,8,85
"485",485,2,52,"Yes",8,8,33
"486",486,2,44,"Yes",6,4,20
"487",487,5,80,"Yes",9,9,66
"488",488,5,52,"Yes",9,8,38
"489",489,6,40,"Yes",4,0,25
"490",490,3,64,"Yes",9,1,43
"491",491,8,86,"No",6,9,79
"492",492,1,43,"Yes",7,4,16
"493",493,6,75,"No",9,4,67
"494",494,4,91,"No",9,5,80
"495",495,1,49,"No",8,7,26
"496",496,7,67,"No",7,0,57
"497",497,9,96,"No",5,9,91
"498",498,4,45,"No",6,8,29
"499",499,4,66,"Yes",9,3,48
"500",500,6,95,"No",8,7,84
"501",501,3,51,"No",6,4,33
"502",502,6,91,"Yes",4,0,82
"503",503,7,87,"Yes",8,8,81
"504",504,3,42,"Yes",4,7,24
"505",505,7,85,"Yes",9,4,81
"506",506,3,72,"Yes",8,3,54
"507",507,2,49,"Yes",5,7,25
"508",508,4,70,"Yes",6,8,53
"509",509,8,54,"No",6,6,48
"510",510,9,46,"Yes",7,3,40
"511",511,7,75,"No",8,6,66
"512",512,1,53,"Yes",8,5,29
"513",513,3,95,"Yes",4,2,73
"514",514,9,87,"No",8,9,89
"515",515,1,53,"Yes",6,2,27
"516",516,9,42,"Yes",8,0,40
"517",517,8,88,"Yes",7,4,83
"518",518,1,92,"Yes",7,7,69
"519",519,6,85,"Yes",6,5,72
"520",520,5,89,"Yes",6,7,77
"521",521,6,42,"Yes",6,6,32
"522",522,5,61,"No",8,1,49
"523",523,6,58,"Yes",8,7,44
"524",524,5,74,"No",5,3,57
"525",525,5,51,"No",9,4,34
"526",526,4,93,"No",9,7,76
"527",527,3,44,"No",4,4,22
"528",528,3,49,"No",8,4,30
"529",529,4,80,"No",5,5,67
"530",530,9,72,"No",5,6,71
"531",531,2,52,"Yes",7,8,29
"532",532,9,74,"Yes",8,6,74
"533",533,1,90,"Yes",5,5,67
"534",534,1,71,"No",7,9,46
"535",535,5,50,"Yes",4,3,34
"536",536,6,87,"No",7,9,76
"537",537,6,77,"No",4,1,64
"538",538,3,63,"Yes",9,8,46
"539",539,7,74,"No",9,9,68
"540",540,9,58,"No",6,4,58
"541",541,8,45,"Yes",6,4,41
"542",542,6,79,"No",7,2,64
"543",543,8,93,"Yes",6,2,84
"544",544,5,84,"No",8,0,70
"545",545,8,83,"No",7,4,77
"546",546,4,81,"Yes",5,2,60
"547",547,8,74,"Yes",8,1,65
"548",548,2,43,"Yes",7,8,21
"549",549,5,72,"No",9,9,60
"550",550,9,52,"No",4,5,48
"551",551,4,95,"Yes",6,2,77
"552",552,6,75,"Yes",6,6,63
"553",553,1,93,"Yes",6,8,68
"554",554,9,82,"No",7,8,81
"555",555,1,58,"No",8,0,29
"556",556,5,82,"Yes",4,1,66
"557",557,4,51,"Yes",6,7,36
"558",558,3,50,"Yes",8,0,29
"559",559,6,45,"No",5,2,32
"560",560,2,51,"Yes",9,6,31
"561",561,3,66,"Yes",5,7,45
"562",562,5,80,"Yes",4,4,65
"563",563,9,64,"No",6,1,57
"564",564,2,81,"No",5,2,58
"565",565,8,42,"Yes",9,8,38
"566",566,2,42,"No",8,9,22
"567",567,5,59,"Yes",8,6,48
"568",568,7,67,"Yes",5,0,59
"569",569,8,62,"Yes",6,2,58
"570",570,1,87,"Yes",9,8,62
"571",571,6,42,"No",4,6,30
"572",572,1,81,"Yes",6,1,56
"573",573,2,63,"Yes",7,5,40
"574",574,1,82,"No",5,8,59
"575",575,5,79,"Yes",7,3,65
"576",576,9,45,"No",5,9,43
"577",577,6,59,"Yes",4,1,48
"578",578,1,50,"Yes",6,2,24
"579",579,1,71,"Yes",9,6,51
"580",580,2,99,"Yes",6,3,81
"581",581,9,66,"No",5,6,62
"582",582,3,60,"Yes",8,4,43
"583",583,1,83,"No",7,7,63
"584",584,5,87,"No",9,7,73
"585",585,7,89,"No",9,4,76
"586",586,6,52,"Yes",6,6,43
"587",587,1,61,"No",6,5,34
"588",588,5,74,"No",5,7,57
"589",589,5,86,"No",8,8,72
"590",590,6,61,"Yes",7,4,47
"591",591,3,67,"Yes",8,6,52
"592",592,5,60,"No",9,0,49
"593",593,7,85,"No",8,7,77
"594",594,5,57,"Yes",5,2,41
"595",595,5,70,"No",8,0,56
"596",596,5,99,"No",7,5,89
"597",597,3,85,"No",9,7,65
"598",598,1,76,"Yes",4,2,49
"599",599,5,60,"No",9,0,48
"600",600,9,53,"No",4,2,47
"601",601,1,64,"Yes",7,4,37
"602",602,3,66,"No",9,7,48
"603",603,4,79,"Yes",9,8,61
"604",604,1,99,"Yes",9,8,77
"605",605,1,99,"Yes",9,3,75
"606",606,8,62,"No",5,7,57
"607",607,2,70,"No",6,4,45
"608",608,8,86,"No",9,2,82
"609",609,7,99,"No",5,4,90
"610",610,2,68,"No",7,1,42
"611",611,6,86,"No",9,5,74
"612",612,6,69,"No",8,0,60
"613",613,3,90,"No",9,5,73
"614",614,2,65,"Yes",9,4,40
"615",615,1,59,"No",4,8,32
"616",616,6,77,"No",8,6,67
"617",617,5,58,"Yes",9,5,46
"618",618,9,66,"No",9,6,65
"619",619,1,64,"Yes",9,9,42
"620",620,7,79,"No",5,4,69
"621",621,5,77,"No",7,0,62
"622",622,5,91,"Yes",4,8,75
"623",623,2,62,"Yes",9,4,40
"624",624,3,68,"No",7,3,43
"625",625,7,54,"Yes",4,5,42
"626",626,6,98,"No",4,4,84
"627",627,2,42,"No",4,0,15
"628",628,6,49,"No",9,1,39
"629",629,2,54,"No",5,3,26
"630",630,2,95,"No",9,7,73
"631",631,2,55,"No",9,4,34
"632",632,3,56,"Yes",7,6,34
"633",633,2,58,"Yes",6,1,37
"634",634,4,50,"Yes",6,7,34
"635",635,9,87,"No",6,4,85
"636",636,6,44,"Yes",7,3,31
"637",637,1,44,"No",8,8,18
"638",638,8,97,"Yes",7,5,92
"639",639,7,53,"No",4,3,44
"640",640,3,89,"No",9,7,72
"641",641,1,65,"No",8,2,40
"642",642,5,47,"No",4,9,31
"643",643,4,44,"No",9,1,25
"644",644,8,46,"Yes",9,6,44
"645",645,1,55,"No",4,3,27
"646",646,1,94,"Yes",7,3,66
"647",647,4,53,"No",6,9,34
"648",648,8,76,"No",8,8,70
"649",649,5,95,"No",9,1,81
"650",650,2,80,"Yes",5,0,56
"651",651,6,43,"No",9,6,30
"652",652,5,75,"Yes",6,7,60
"653",653,2,87,"No",9,2,64
"654",654,3,95,"Yes",5,1,74
"655",655,9,56,"Yes",7,3,52
"656",656,7,86,"Yes",9,1,84
"657",657,7,75,"No",8,1,66
"658",658,6,45,"No",7,4,32
"659",659,8,55,"Yes",5,9,47
"660",660,4,68,"No",4,4,51
"661",661,8,75,"No",9,7,67
"662",662,4,77,"No",7,8,57
"663",663,8,76,"Yes",9,1,71
"664",664,9,87,"Yes",8,0,86
"665",665,3,96,"No",9,2,77
"666",666,3,87,"Yes",7,5,72
"667",667,2,49,"No",6,4,24
"668",668,3,80,"No",7,7,60
"669",669,3,75,"Yes",5,7,55
"670",670,5,68,"Yes",7,1,54
"671",671,5,53,"No",8,8,39
"672",672,2,43,"No",7,3,19
"673",673,6,83,"No",7,0,68
"674",674,5,95,"Yes",8,1,83
"675",675,6,81,"Yes",7,5,72
"676",676,1,75,"No",8,4,49
"677",677,5,89,"No",5,6,74
"678",678,9,84,"Yes",8,8,86
"679",679,2,52,"No",5,5,26
"680",680,1,85,"Yes",5,5,60
"681",681,9,57,"Yes",8,1,54
"682",682,9,72,"No",7,6,73
"683",683,9,60,"No",9,1,61
"684",684,6,55,"Yes",6,6,45
"685",685,8,54,"No",9,7,57
"686",686,1,93,"Yes",8,0,68
"687",687,4,96,"Yes",7,8,72
"688",688,1,44,"Yes",5,7,17
"689",689,8,45,"No",4,8,37
"690",690,1,77,"No",6,4,54
"691",691,3,42,"No",9,3,22
"692",692,4,87,"Yes",7,0,73
"693",693,8,51,"Yes",6,8,47
"694",694,6,75,"Yes",4,3,63
"695",695,7,72,"Yes",4,3,63
"696",696,8,75,"No",4,3,68
"697",697,2,72,"No",9,1,52
"698",698,8,70,"No",8,3,64
"699",699,3,60,"Yes",6,1,38
"700",700,7,66,"Yes",8,7,60
"701",701,3,66,"No",4,6,45
"702",702,7,47,"Yes",7,9,39
"703",703,2,95,"No",4,1,75
"704",704,6,76,"Yes",8,1,67
"705",705,3,71,"Yes",4,1,48
"706",706,3,65,"Yes",4,0,44
"707",707,9,41,"Yes",8,5,37
"708",708,7,51,"Yes",8,5,41
"709",709,5,61,"No",7,0,47
"710",710,7,56,"No",8,0,45
"711",711,9,46,"No",7,5,43
"712",712,1,82,"Yes",5,5,54
"713",713,7,43,"No",5,3,32
"714",714,6,76,"No",8,2,64
"715",715,9,77,"Yes",4,8,74
"716",716,1,71,"Yes",6,5,50
"717",717,4,50,"No",4,0,33
"718",718,9,40,"No",8,2,36
"719",719,4,64,"No",7,0,45
"720",720,3,81,"No",4,2,58
"721",721,9,91,"No",5,1,85
"722",722,2,63,"Yes",9,4,41
"723",723,4,92,"No",8,2,78
"724",724,6,82,"No",4,6,63
"725",725,2,95,"No",9,7,76
"726",726,8,56,"No",4,6,51
"727",727,8,47,"No",7,1,36
"728",728,1,98,"No",7,9,74
"729",729,3,84,"Yes",7,9,65
